e,alpha,alphal,alphah
5.4267,0.0075,0.0075,0.0075
5.4295,0.0075,0.0075,0.0075
5.4323,0.0075,0.0075,0.0075
5.4351,0.0075,0.0075,0.0075
5.4379,0.0075,0.0075,0.0075
5.4407,0.0075,0.0075,0.0075
5.4435,0.0075,0.0075,0.0075
5.4463,0.0075,0.0075,0.0075
5.4491,0.0075,0.0075,0.0075
5.4519,0.0075,0.0075,0.0075
5.4547,0.0075,0.0075,0.0075
5.4575,0.0075,0.0075,0.0075
5.4604,0.0075,0.0075,0.0075
5.4632,0.0075,0.0075,0.0075
5.4660,0.0075,0.0075,0.0075
5.4688,0.0075,0.0075,0.0075
5.4716,0.0075,0.0075,0.0075
5.4744,0.0075,0.0075,0.0075
5.4773,0.0075,0.0075,0.0075
5.4801,0.0075,0.0075,0.0075
5.4829,0.0075,0.0075,0.0075
5.4857,0.0075,0.0075,0.0075
5.4886,0.0075,0.0075,0.0075
5.4914,0.0075,0.0075,0.0075
5.4942,0.0075,0.0075,0.0075
5.4970,0.0075,0.0075,0.0075
5.4999,0.0075,0.0075,0.0075
5.5027,0.0075,0.0075,0.0075
5.5055,0.0075,0.0075,0.0075
5.5084,0.0075,0.0075,0.0075
5.5112,0.0075,0.0075,0.0075
5.5141,0.0075,0.0075,0.0075
5.5169,0.0075,0.0075,0.0075
5.5197,0.0075,0.0075,0.0075
5.5226,0.0075,0.0075,0.0075
5.5254,0.0075,0.0075,0.0075
5.5283,0.0075,0.0075,0.0075
5.5311,0.0075,0.0075,0.0075
5.5340,0.0075,0.0075,0.0075
5.5368,0.0075,0.0075,0.0075
5.5397,0.0075,0.0075,0.0075
5.5425,0.0075,0.0075,0.0075
5.5454,0.0075,0.0075,0.0075
5.5482,0.0075,0.0075,0.0075
5.5511,0.0075,0.0075,0.0075
5.5540,0.0075,0.0075,0.0075
5.5568,0.0075,0.0075,0.0075
5.5597,0.0075,0.0075,0.0075
5.5626,0.0075,0.0075,0.0075
5.5654,0.0075,0.0075,0.0075
5.5683,0.0075,0.0075,0.0075
5.5712,0.0075,0.0075,0.0075
5.5740,0.0075,0.0075,0.0075
5.5769,0.0075,0.0075,0.0075
5.5798,0.0075,0.0075,0.0075
5.5826,0.0075,0.0075,0.0075
5.5855,0.0075,0.0075,0.0075
5.5884,0.0075,0.0075,0.0075
5.5913,0.0075,0.0075,0.0075
5.5942,0.0075,0.0075,0.0075
5.5970,0.0075,0.0075,0.0075
5.5999,0.0075,0.0075,0.0075
5.6028,0.0075,0.0075,0.0075
5.6057,0.0075,0.0075,0.0075
5.6086,0.0075,0.0075,0.0075
5.6115,0.0075,0.0075,0.0075
5.6144,0.0075,0.0075,0.0075
5.6173,0.0075,0.0075,0.0075
5.6201,0.0075,0.0075,0.0075
5.6230,0.0075,0.0075,0.0075
5.6259,0.0075,0.0075,0.0075
5.6288,0.0075,0.0075,0.0075
5.6317,0.0075,0.0075,0.0075
5.6346,0.0075,0.0075,0.0075
5.6375,0.0075,0.0075,0.0075
5.6404,0.0075,0.0075,0.0075
5.6434,0.0075,0.0075,0.0075
5.6463,0.0075,0.0075,0.0075
5.6492,0.0075,0.0075,0.0075
5.6521,0.0075,0.0075,0.0075
5.6550,0.0075,0.0075,0.0075
5.6579,0.0075,0.0075,0.0075
5.6608,0.0075,0.0075,0.0075
5.6637,0.0075,0.0075,0.0075
5.6667,0.0075,0.0075,0.0075
5.6696,0.0075,0.0075,0.0075
5.6725,0.0075,0.0075,0.0075
5.6754,0.0075,0.0075,0.0075
5.6783,0.0075,0.0075,0.0075
5.6813,0.0075,0.0075,0.0075
5.6842,0.0075,0.0075,0.0075
5.6871,0.0075,0.0075,0.0075
5.6901,0.0075,0.0075,0.0075
5.6930,0.0075,0.0075,0.0075
5.6959,0.0075,0.0075,0.0075
5.6989,0.0075,0.0075,0.0075
5.7018,0.0075,0.0075,0.0075
5.7047,0.0075,0.0075,0.0075
5.7077,0.0075,0.0075,0.0075
5.7106,0.0075,0.0075,0.0075
5.7135,0.0075,0.0075,0.0075
5.7165,0.0075,0.0075,0.0075
5.7194,0.0075,0.0075,0.0075
5.7224,0.0075,0.0075,0.0075
5.7253,0.0075,0.0075,0.0075
5.7283,0.0075,0.0075,0.0075
5.7312,0.0075,0.0075,0.0075
5.7342,0.0075,0.0075,0.0075
5.7371,0.0075,0.0075,0.0075
5.7401,0.0075,0.0075,0.0075
5.7431,0.0075,0.0075,0.0075
5.7460,0.0075,0.0075,0.0075
5.7490,0.0075,0.0075,0.0075
5.7519,0.0075,0.0075,0.0075
5.7549,0.0075,0.0075,0.0075
5.7579,0.0075,0.0075,0.0075
5.7608,0.0075,0.0075,0.0075
5.7638,0.0075,0.0075,0.0075
5.7668,0.0075,0.0075,0.0075
5.7697,0.0075,0.0075,0.0075
5.7727,0.0075,0.0075,0.0075
5.7757,0.0075,0.0075,0.0075
5.7787,0.0075,0.0075,0.0075
5.7816,0.0075,0.0075,0.0075
5.7846,0.0075,0.0075,0.0075
5.7876,0.0075,0.0075,0.0075
5.7906,0.0075,0.0075,0.0075
5.7936,0.0075,0.0075,0.0075
5.7965,0.0075,0.0075,0.0075
5.7995,0.0075,0.0075,0.0075
5.8025,0.0075,0.0075,0.0075
5.8055,0.0075,0.0075,0.0075
5.8085,0.0075,0.0075,0.0075
5.8115,0.0075,0.0075,0.0075
5.8145,0.0075,0.0075,0.0075
5.8175,0.0075,0.0075,0.0075
5.8205,0.0075,0.0075,0.0075
5.8235,0.0075,0.0075,0.0075
5.8265,0.0075,0.0075,0.0075
5.8295,0.0075,0.0075,0.0075
5.8325,0.0075,0.0075,0.0075
5.8355,0.0075,0.0075,0.0075
5.8385,0.0075,0.0075,0.0075
5.8415,0.0075,0.0075,0.0075
5.8445,0.0075,0.0075,0.0075
5.8475,0.0075,0.0075,0.0075
5.8505,0.0075,0.0075,0.0075
5.8536,0.0075,0.0075,0.0075
5.8566,0.0075,0.0075,0.0075
5.8596,0.0075,0.0075,0.0075
5.8626,0.0075,0.0075,0.0075
5.8656,0.0075,0.0075,0.0075
5.8686,0.0075,0.0075,0.0075
5.8717,0.0075,0.0075,0.0075
5.8747,0.0075,0.0075,0.0075
5.8777,0.0075,0.0075,0.0075
5.8807,0.0075,0.0075,0.0075
5.8838,0.0075,0.0075,0.0075
5.8868,0.0075,0.0075,0.0075
5.8898,0.0075,0.0075,0.0075
5.8929,0.0075,0.0075,0.0075
5.8959,0.0075,0.0075,0.0075
5.8990,0.0075,0.0075,0.0075
5.9020,0.0075,0.0075,0.0075
5.9050,0.0075,0.0075,0.0075
5.9081,0.0075,0.0075,0.0075
5.9111,0.0075,0.0075,0.0075
5.9142,0.0075,0.0075,0.0075
5.9172,0.0075,0.0075,0.0075
5.9203,0.0075,0.0075,0.0075
5.9233,0.0075,0.0075,0.0075
5.9264,0.0075,0.0075,0.0075
5.9294,0.0075,0.0075,0.0075
5.9325,0.0075,0.0075,0.0075
5.9355,0.0075,0.0075,0.0075
5.9386,0.0075,0.0075,0.0075
5.9416,0.0075,0.0075,0.0075
5.9447,0.0075,0.0075,0.0075
5.9478,0.0075,0.0075,0.0075
5.9508,0.0075,0.0075,0.0075
5.9539,0.0075,0.0075,0.0075
5.9570,0.0075,0.0075,0.0075
5.9600,0.0075,0.0075,0.0075
5.9631,0.0075,0.0075,0.0075
5.9662,0.0075,0.0075,0.0075
5.9692,0.0075,0.0075,0.0075
5.9723,0.0075,0.0075,0.0075
5.9754,0.0075,0.0075,0.0075
5.9785,0.0075,0.0075,0.0075
5.9816,0.0075,0.0075,0.0075
5.9846,0.0075,0.0075,0.0075
5.9877,0.0075,0.0075,0.0075
5.9908,0.0075,0.0075,0.0075
5.9939,0.0075,0.0075,0.0075
5.9970,0.0075,0.0075,0.0075
6.0001,0.0075,0.0075,0.0075
6.0032,0.0075,0.0075,0.0075
6.0063,0.0075,0.0075,0.0075
6.0094,0.0075,0.0075,0.0075
6.0124,0.0075,0.0075,0.0075
6.0155,0.0075,0.0075,0.0075
6.0186,0.0075,0.0075,0.0075
6.0217,0.0075,0.0075,0.0075
6.0248,0.0075,0.0075,0.0075
6.0280,0.0075,0.0075,0.0075
6.0311,0.0075,0.0075,0.0075
6.0342,0.0075,0.0075,0.0075
6.0373,0.0075,0.0075,0.0075
6.0404,0.0075,0.0075,0.0075
6.0435,0.0075,0.0075,0.0075
6.0466,0.0075,0.0075,0.0075
6.0497,0.0075,0.0075,0.0075
6.0528,0.0075,0.0075,0.0075
6.0560,0.0075,0.0075,0.0075
6.0591,0.0075,0.0075,0.0075
6.0622,0.0075,0.0075,0.0075
6.0653,0.0075,0.0075,0.0075
6.0684,0.0075,0.0075,0.0075
6.0716,0.0075,0.0075,0.0075
6.0747,0.0075,0.0075,0.0075
6.0778,0.0075,0.0075,0.0075
6.0810,0.0075,0.0075,0.0075
6.0841,0.0075,0.0075,0.0075
6.0872,0.0075,0.0075,0.0075
6.0904,0.0075,0.0075,0.0075
6.0935,0.0075,0.0075,0.0075
6.0966,0.0075,0.0075,0.0075
6.0998,0.0075,0.0075,0.0075
6.1029,0.0075,0.0075,0.0075
6.1061,0.0075,0.0075,0.0075
6.1092,0.0075,0.0075,0.0075
6.1124,0.0075,0.0075,0.0075
6.1155,0.0075,0.0075,0.0075
6.1187,0.0075,0.0075,0.0075
6.1218,0.0075,0.0075,0.0075
6.1250,0.0075,0.0075,0.0075
6.1281,0.0075,0.0075,0.0075
6.1313,0.0075,0.0075,0.0075
6.1344,0.0075,0.0075,0.0075
6.1376,0.0075,0.0075,0.0075
6.1408,0.0075,0.0075,0.0075
6.1439,0.0075,0.0075,0.0075
6.1471,0.0075,0.0075,0.0075
6.1503,0.0075,0.0075,0.0075
6.1534,0.0075,0.0075,0.0075
6.1566,0.0075,0.0075,0.0075
6.1598,0.0075,0.0075,0.0075
6.1629,0.0075,0.0075,0.0075
6.1661,0.0075,0.0075,0.0075
6.1693,0.0075,0.0075,0.0075
6.1725,0.0075,0.0075,0.0075
6.1757,0.0075,0.0075,0.0075
6.1788,0.0075,0.0075,0.0075
6.1820,0.0075,0.0075,0.0075
6.1852,0.0075,0.0075,0.0075
6.1884,0.0075,0.0075,0.0075
6.1916,0.0075,0.0075,0.0075
6.1948,0.0075,0.0075,0.0075
6.1980,0.0075,0.0075,0.0075
6.2012,0.0075,0.0075,0.0075
6.2044,0.0075,0.0075,0.0075
6.2075,0.0075,0.0075,0.0075
6.2107,0.0075,0.0075,0.0075
6.2139,0.0075,0.0075,0.0075
6.2171,0.0075,0.0075,0.0075
6.2204,0.0075,0.0075,0.0075
6.2236,0.0075,0.0075,0.0075
6.2268,0.0075,0.0075,0.0075
6.2300,0.0075,0.0075,0.0075
6.2332,0.0075,0.0075,0.0075
6.2364,0.0075,0.0075,0.0075
6.2396,0.0075,0.0075,0.0075
6.2428,0.0075,0.0075,0.0075
6.2460,0.0075,0.0075,0.0075
6.2493,0.0075,0.0075,0.0075
6.2525,0.0075,0.0075,0.0075
6.2557,0.0075,0.0075,0.0075
6.2589,0.0075,0.0075,0.0075
6.2621,0.0075,0.0075,0.0075
6.2654,0.0075,0.0075,0.0075
6.2686,0.0075,0.0075,0.0075
6.2718,0.0075,0.0075,0.0075
6.2751,0.0075,0.0075,0.0075
6.2783,0.0075,0.0075,0.0075
6.2815,0.0075,0.0075,0.0075
6.2848,0.0075,0.0075,0.0075
6.2880,0.0075,0.0075,0.0075
6.2912,0.0075,0.0075,0.0075
6.2945,0.0075,0.0075,0.0075
6.2977,0.0075,0.0075,0.0075
6.3010,0.0075,0.0075,0.0075
6.3042,0.0075,0.0075,0.0075
6.3075,0.0075,0.0075,0.0075
6.3107,0.0075,0.0075,0.0075
6.3140,0.0075,0.0075,0.0075
6.3172,0.0075,0.0075,0.0075
6.3205,0.0075,0.0075,0.0075
6.3237,0.0075,0.0075,0.0075
6.3270,0.0075,0.0075,0.0075
6.3302,0.0075,0.0075,0.0075
6.3335,0.0075,0.0075,0.0075
6.3368,0.0075,0.0075,0.0075
6.3400,0.0075,0.0075,0.0075
6.3433,0.0075,0.0075,0.0075
6.3466,0.0075,0.0075,0.0075
6.3498,0.0075,0.0075,0.0075
6.3531,0.0075,0.0075,0.0075
6.3564,0.0075,0.0075,0.0075
6.3597,0.0075,0.0075,0.0075
6.3629,0.0075,0.0075,0.0075
6.3662,0.0075,0.0075,0.0075
6.3695,0.0075,0.0075,0.0075
6.3728,0.0075,0.0075,0.0075
6.3761,0.0075,0.0075,0.0075
6.3793,0.0075,0.0075,0.0075
6.3826,0.0075,0.0075,0.0075
6.3859,0.0075,0.0075,0.0075
