E1 [GeV],E2 [GeV],E1+(E2-E1)/2,s [GeV^2],sigma [nb],err. sigma [nb] bare,alphaRatio,alphaRatioL,alphaRatioH
1.2900,1.3000,1.2950,1.6770,7.27264,0.45480,1.01762,1.01740,1.01785
1.3000,1.3100,1.3050,1.7030,6.81295,0.44772,1.01756,1.01732,1.01779
1.3100,1.3200,1.3150,1.7292,6.74482,0.43043,1.01749,1.01724,1.01774
1.3200,1.3300,1.3250,1.7556,5.62011,0.37182,1.01742,1.01716,1.01769
1.3300,1.3400,1.3350,1.7822,5.68195,0.39039,1.01737,1.01709,1.01765
1.3400,1.3500,1.3450,1.8090,4.80148,0.37529,1.01730,1.01699,1.01760
1.3500,1.3600,1.3550,1.8360,4.92940,0.35463,1.01724,1.01691,1.01757
1.3600,1.3700,1.3650,1.8632,4.22120,0.35654,1.01718,1.01682,1.01754
1.3700,1.3800,1.3750,1.8906,3.86059,0.31444,1.01713,1.01673,1.01753
1.3800,1.3900,1.3850,1.9182,2.79557,0.29852,1.01710,1.01664,1.01755
1.3900,1.4000,1.3950,1.9460,2.37278,0.23256,1.01711,1.01656,1.01765
1.4000,1.4500,1.4250,2.0306,1.91736,0.14611,1.01703,1.01643,1.01763
1.4500,1.5000,1.4750,2.1756,0.71356,0.10249,1.01698,1.01663,1.01733
1.5000,1.5500,1.5250,2.3256,0.12965,0.06359,1.01755,1.01734,1.01775
1.5500,1.6000,1.5750,2.4806,0.04414,0.05985,1.01821,1.01806,1.01837
1.6000,1.6500,1.6250,2.6406,0.16252,0.06065,1.01825,1.01812,1.01839
1.6500,1.7000,1.6750,2.8056,0.61555,0.07837,1.01872,1.01852,1.01891
1.7000,1.7500,1.7250,2.9756,1.08982,0.09168,1.01930,1.01904,1.01957
1.7500,1.8000,1.7750,3.1506,1.29044,0.09773,1.01956,1.01928,1.01985
1.8000,1.8500,1.8250,3.3306,1.31079,0.10256,1.01980,1.01950,1.02010
1.8500,1.9000,1.8750,3.5156,1.21806,0.09531,1.01952,1.01913,1.01991
1.9000,1.9500,1.9250,3.7056,0.86174,0.07956,1.01899,1.01852,1.01946
1.9500,2.0000,1.9750,3.9006,0.61813,0.06722,1.01859,1.01797,1.01921
2.0000,2.0500,2.0250,4.1006,0.28867,0.04664,1.01849,1.01788,1.01909
2.0500,2.1000,2.0750,4.3056,0.20900,0.04328,1.01898,1.01852,1.01944
2.1000,2.1500,2.1250,4.5156,0.13215,0.03982,1.01950,1.01911,1.01988
2.1500,2.2000,2.1750,4.7306,0.08863,0.03740,1.01982,1.01946,1.02017
2.2000,2.2500,2.2250,4.9506,0.11390,0.03446,1.02008,1.01974,1.02042
2.2500,2.3000,2.2750,5.1756,0.20271,0.04363,1.02027,1.01994,1.02060
2.3000,2.3500,2.3250,5.4056,0.10412,0.03107,1.02033,1.02000,1.02065
2.3500,2.4000,2.3750,5.6406,0.12832,0.03562,1.02033,1.02002,1.02064
2.4000,2.4500,2.4250,5.8806,0.08122,0.02902,1.02030,1.02001,1.02059
2.4500,2.5000,2.4750,6.1256,0.04308,0.03226,1.02019,1.01992,1.02047
2.5000,2.6000,2.5500,6.5025,0.04765,0.01863,1.01994,1.01969,1.02020
2.6000,2.7000,2.6500,7.0225,0.02421,0.01367,1.01954,1.01927,1.01981
2.7000,2.8000,2.7500,7.5625,0.01395,0.01412,1.01885,1.01856,1.01915
2.8000,2.9000,2.8500,8.1225,0.00918,0.01326,1.01754,1.01718,1.01790
2.9000,3.0000,2.9500,8.7025,0.01023,0.01237,1.01440,1.01385,1.01494
