E1 [GeV],E2 [GeV],E1+(E2-E1)/2,s [GeV^2],sigma [nb],err. sigma [nb] bare,alphaRatio,alphaRatioL,alphaRatioH
0.5980,0.6000,0.5990,0.3588,330.97345,7.60966,1.00454,1.00449,1.00458
0.6000,0.6020,0.6010,0.3612,325.41282,6.06285,1.00447,1.00442,1.00452
0.6020,0.6040,0.6030,0.3636,332.82247,5.21301,1.00440,1.00434,1.00445
0.6040,0.6060,0.6050,0.3660,336.63230,5.88944,1.00433,1.00428,1.00438
0.6060,0.6080,0.6070,0.3684,341.42771,6.67362,1.00427,1.00422,1.00432
0.6080,0.6100,0.6090,0.3709,344.51772,6.71287,1.00420,1.00415,1.00425
0.6100,0.6120,0.6110,0.3733,349.65904,5.70493,1.00413,1.00408,1.00418
0.6120,0.6140,0.6130,0.3758,353.20417,5.30912,1.00406,1.00401,1.00411
0.6140,0.6160,0.6150,0.3782,357.84372,6.82366,1.00400,1.00394,1.00405
0.6160,0.6180,0.6170,0.3807,366.57115,7.12967,1.00392,1.00387,1.00398
0.6180,0.6200,0.6190,0.3832,373.15205,5.35323,1.00385,1.00380,1.00390
0.6200,0.6220,0.6210,0.3856,377.67394,6.75055,1.00378,1.00373,1.00384
0.6220,0.6240,0.6230,0.3881,392.49515,6.66409,1.00371,1.00365,1.00376
0.6240,0.6260,0.6250,0.3906,389.93542,6.72768,1.00363,1.00358,1.00369
0.6260,0.6280,0.6270,0.3931,403.26607,7.19893,1.00356,1.00351,1.00362
0.6280,0.6300,0.6290,0.3956,409.29100,6.64353,1.00349,1.00343,1.00354
0.6300,0.6320,0.6310,0.3982,432.87237,7.16007,1.00341,1.00335,1.00347
0.6320,0.6340,0.6330,0.4007,432.31689,6.74057,1.00333,1.00328,1.00339
0.6340,0.6360,0.6350,0.4032,441.69342,7.32202,1.00326,1.00320,1.00331
0.6360,0.6380,0.6370,0.4058,447.30732,7.55775,1.00318,1.00312,1.00323
0.6380,0.6400,0.6390,0.4083,440.54282,7.26787,1.00310,1.00304,1.00315
0.6400,0.6420,0.6410,0.4109,462.62159,6.96407,1.00302,1.00296,1.00308
0.6420,0.6440,0.6430,0.4134,469.84247,7.75651,1.00295,1.00290,1.00301
0.6440,0.6460,0.6450,0.4160,473.89366,6.26555,1.00288,1.00282,1.00293
0.6460,0.6480,0.6470,0.4186,481.96533,7.71686,1.00280,1.00274,1.00286
0.6480,0.6500,0.6490,0.4212,506.77221,7.42557,1.00272,1.00266,1.00278
0.6500,0.6520,0.6510,0.4238,515.11971,7.32130,1.00264,1.00258,1.00270
0.6520,0.6540,0.6530,0.4264,521.88327,7.97169,1.00256,1.00250,1.00262
0.6540,0.6560,0.6550,0.4290,527.42105,8.10339,1.00248,1.00242,1.00254
0.6560,0.6580,0.6570,0.4316,538.88879,8.17683,1.00241,1.00235,1.00247
0.6580,0.6600,0.6590,0.4343,549.54126,8.30160,1.00233,1.00227,1.00239
0.6600,0.6620,0.6610,0.4369,556.21076,7.72668,1.00225,1.00219,1.00231
0.6620,0.6640,0.6630,0.4396,570.70416,8.09063,1.00217,1.00211,1.00224
0.6640,0.6660,0.6650,0.4422,586.91302,7.50127,1.00211,1.00204,1.00217
0.6660,0.6680,0.6670,0.4449,589.59548,7.81293,1.00204,1.00197,1.00210
0.6680,0.6700,0.6690,0.4476,602.80426,8.54057,1.00196,1.00190,1.00203
