[GeV^2],sigma [nb],err. sigma [nb]
0.7726,242.88220,4.54679
0.7762,236.67343,3.65542
0.7797,234.51766,4.43607
0.7832,228.63364,3.51008
0.7868,224.88251,3.69221
0.7903,210.19465,3.33349
0.7939,211.49103,4.01305
0.7974,203.65743,4.05319
0.8010,197.63820,3.59671
0.8046,199.53421,3.84660
0.8082,192.68561,3.29938
0.8118,186.71016,3.30402
0.8154,183.34630,3.86473
0.8190,175.52553,3.42085
0.8226,168.74056,3.02536
0.8263,160.01698,3.52612
0.8299,159.97059,3.33427
0.8336,155.64886,3.44126
0.8372,148.08217,3.10591
0.8409,147.35694,2.76511
0.8446,145.09733,3.42667
0.8482,135.64572,2.57948
0.8519,139.37296,3.22257
0.8556,132.80268,3.18767
0.8593,128.58486,3.14486
0.8630,127.81609,2.50977
0.8668,123.24168,3.00352
0.8705,122.26920,3.02470
0.8742,115.36806,2.84473
0.8780,112.60636,2.69351
0.8817,109.42133,2.43689
0.8855,111.14764,2.33278
0.8892,107.67610,2.63038
0.8930,103.33404,2.16834
0.8968,105.92820,2.52356
0.9006,99.29495,2.58985
0.9044,99.88987,2.63741
0.9082,98.93367,2.60154
0.9120,94.62272,2.54042
0.9158,94.94549,2.57963
0.9197,89.25667,2.13248
0.9235,88.40681,2.54816
0.9274,86.31534,1.95674
0.9312,82.38138,2.09390
0.9351,80.81125,2.13539
0.9390,79.51348,2.32598
0.9428,79.14629,2.38683
0.9467,82.09293,2.39002
0.9506,76.11460,1.74979
0.9545,73.13964,2.07533
0.9584,73.99405,2.12724
0.9624,70.70188,1.96335
0.9663,71.92956,1.81812
0.9702,67.17074,2.18207
0.9742,68.83092,1.97739
0.9781,64.37755,1.90782
0.9821,66.50319,2.15347
0.9860,63.60856,1.71685
0.9900,63.42893,1.69409
0.9940,61.82197,1.81624
0.9980,61.39067,2.06360
1.0100,59.46317,1.57942
1.0302,55.48840,1.48186
1.0506,42.67400,1.16288
1.0712,42.76089,1.29947
1.0920,39.75994,1.19043
1.1130,36.72077,1.08106
1.1342,34.88315,1.15828
1.1556,33.36570,1.15134
1.1772,30.03311,1.00221
1.1990,29.61138,0.97824
1.2210,26.33881,0.94559
1.2432,25.22423,0.95938
1.2656,22.87804,0.90616
1.2882,21.23511,0.79667
1.3110,21.02308,0.84407
1.3340,19.78130,0.82415
1.3572,17.68636,0.77696
1.3806,16.32276,0.67779
1.4042,15.87128,0.73417
1.4280,14.61016,0.67185
1.4520,13.28625,0.61836
1.4762,12.40452,0.62842
1.5006,11.34202,0.55918
1.5252,10.80108,0.53514
1.5500,10.82458,0.59909
1.5750,9.84104,0.52196
1.6002,9.83737,0.56868
1.6256,8.58472,0.51367
1.6512,8.06022,0.50400
1.6770,7.27264,0.45480
1.7030,6.81295,0.44772
1.7292,6.74482,0.43043
1.7556,5.62011,0.37182
1.7822,5.68195,0.39039
1.8090,4.80148,0.37529
1.8360,4.92940,0.35463
1.8632,4.22120,0.35654
1.8906,3.86059,0.31444
1.9182,2.79557,0.29852
1.9460,2.37278,0.23256
2.0306,1.91736,0.14611
2.1756,0.71356,0.10249
2.3256,0.12965,0.06359
2.4806,0.04414,0.05985
2.6406,0.16252,0.06065
2.8056,0.61555,0.07837
2.9756,1.08982,0.09168
3.1506,1.29044,0.09773
3.3306,1.31079,0.10256
3.5156,1.21806,0.09531
3.7056,0.86174,0.07956
3.9006,0.61813,0.06722
4.1006,0.28867,0.04664
4.3056,0.20900,0.04328
4.5156,0.13215,0.03982
4.7306,0.08863,0.03740
4.9506,0.11390,0.03446
5.1756,0.20271,0.04363
5.4056,0.10412,0.03107
5.6406,0.12832,0.03562
5.8806,0.08122,0.02902
6.1256,0.04308,0.03226
6.5025,0.04765,0.01863
7.0225,0.02421,0.01367
7.5625,0.01395,0.01412
8.1225,0.00918,0.01326
8.7025,0.01023,0.01237
0.1050,44.0000,7.0000
0.1150,67.0000,9.0000
0.1250,76.0000,9.0000
0.1350,77.0000,10.0000
0.1450,84.0000,11.0000
0.1550,99.0000,11.0000
0.1650,111.0000,13.0000
0.1750,119.0000,12.0000
0.1850,122.0000,12.0000
0.1950,142.0000,13.0000
0.2050,140.0000,13.0000
0.2150,144.0000,12.0000
0.2250,151.0000,11.0000
0.2350,167.0000,12.0000
0.2450,165.0000,11.0000
0.2550,173.0000,10.0000
0.2650,198.0000,11.0000
0.2750,199.0000,10.0000
0.2850,211.0000,10.0000
0.2950,222.0000,10.0000
0.3050,233.0000,10.0000
0.3150,241.0000,9.0000
0.3250,244.0000,9.0000
0.3350,252.0000,9.0000
0.3450,276.0000,9.0000
0.3550,301.0000,9.0000
0.3650,323.0000,9.0000
0.3750,344.0000,9.0000
0.3850,381.0000,9.0000
0.3950,397.0000,9.0000
0.4050,426.0000,9.0000
0.4150,454.0000,9.0000
0.4250,507.0000,9.0000
0.4350,545.0000,9.0000
0.4450,574.0000,9.0000
0.4550,622.0000,9.0000
0.4650,697.0000,9.0000
0.4750,725.0000,9.0000
0.4850,828.0000,10.0000
0.4950,863.0000,10.0000
