# Sigma_exp
# Source: Mainz
# Q_avg^2 [GeV^2/c^2] | sigma_exp | delta sigma_exp | theta | E_in [MeV]
Code,Abbrev,x,y,dy,theta,energy
# Type=1100
30,Mainz,0.064044,1.089861,0.002778,103.000000,180.000000
30,Mainz,0.065843,1.118930,0.005828,105.510000,180.000000
30,Mainz,0.065844,1.122130,0.003428,105.510000,180.000000
30,Mainz,0.065838,1.123726,0.002971,105.510000,180.000000
30,Mainz,0.054498,0.989732,0.002811,90.500000,180.000000
# Type=1101
30,Mainz,0.003843,0.981579,0.004439,20.010000,180.000000
30,Mainz,0.003839,0.984848,0.004439,20.010000,180.000000
30,Mainz,0.004031,0.980063,0.004535,20.500000,180.000000
30,Mainz,0.004028,0.978496,0.004436,20.500000,180.000000
30,Mainz,0.004031,0.985879,0.004633,20.500000,180.000000
30,Mainz,0.004031,0.978486,0.004535,20.500000,180.000000
30,Mainz,0.004227,0.980594,0.004630,21.000000,180.000000
30,Mainz,0.004426,0.983775,0.004627,21.500000,180.000000
30,Mainz,0.004426,0.979739,0.004627,21.500000,180.000000
30,Mainz,0.004626,0.976426,0.005116,22.000000,180.000000
30,Mainz,0.004626,0.973671,0.005116,22.000000,180.000000
30,Mainz,0.004626,0.981345,0.004329,22.000000,180.000000
30,Mainz,0.004625,0.978593,0.004230,22.000000,180.000000
30,Mainz,0.004833,0.977225,0.004227,22.500000,180.000000
30,Mainz,0.004838,0.972391,0.004227,22.500000,180.000000
30,Mainz,0.005051,0.983491,0.004323,23.000000,180.000000
30,Mainz,0.005047,0.983603,0.004323,23.000000,180.000000
30,Mainz,0.005046,0.978203,0.003733,23.000000,180.000000
30,Mainz,0.005046,0.978203,0.003733,23.000000,180.000000
30,Mainz,0.005271,0.981892,0.003829,23.510000,180.000000
30,Mainz,0.005271,0.980223,0.003829,23.510000,180.000000
30,Mainz,0.005272,0.980711,0.003829,23.510000,180.000000
30,Mainz,0.005266,0.977884,0.003829,23.510000,180.000000
30,Mainz,0.005487,0.977370,0.003728,24.010000,180.000000
30,Mainz,0.005487,0.975016,0.004316,24.010000,180.000000
30,Mainz,0.005708,0.971272,0.007058,24.500000,180.000000
30,Mainz,0.005707,0.973824,0.004117,24.500000,180.000000
30,Mainz,0.005707,0.980588,0.003627,24.500000,180.000000
30,Mainz,0.005713,0.975960,0.006470,24.500000,180.000000
30,Mainz,0.005707,0.976373,0.003921,24.500000,180.000000
30,Mainz,0.005708,0.972938,0.006666,24.500000,180.000000
30,Mainz,0.005940,0.975633,0.004506,25.010000,180.000000
30,Mainz,0.005941,0.976119,0.004114,25.010000,180.000000
30,Mainz,0.005941,0.980723,0.004800,25.010000,180.000000
30,Mainz,0.005941,0.978960,0.002939,25.010000,180.000000
30,Mainz,0.006168,0.980885,0.006656,25.500000,180.000000
30,Mainz,0.006174,0.971174,0.003719,25.500000,180.000000
30,Mainz,0.006174,0.972838,0.004013,25.500000,180.000000
30,Mainz,0.006174,0.970881,0.003915,25.500000,180.000000
30,Mainz,0.006168,0.969237,0.004698,25.500000,180.000000
30,Mainz,0.006415,0.968858,0.003521,26.010000,180.000000
30,Mainz,0.006415,0.969542,0.003521,26.010000,180.000000
30,Mainz,0.006415,0.972085,0.005966,26.010000,180.000000
30,Mainz,0.006413,0.974831,0.003521,26.010000,180.000000
30,Mainz,0.006415,0.970325,0.004206,26.010000,180.000000
