# Cross-section sigma_p pbar, e+e- -> p pbar
# sqrt(s) [GeV/c] | delta+ | delta- | sigma_exp [pb] | delta sigma_exp+ | delta sigma_exp-
Code,Abbrev,x,dx+,dx-,y,dy+,dy-
31,Lees-13-2,5.0000,0.5000,0.5000,0.0180,0.0100,0.0100
31,Lees-13-2,6.0000,0.5000,0.5000,0.0014,0.0025,0.0025
31,Ablikim-15,2.2324,0.0000,0.0000,353.0000,21.0889,21.0889
31,Ablikim-15,2.4000,0.0000,0.0000,132.7000,11.1759,11.1759
31,Ablikim-15,2.8000,0.0000,0.0000,21.3000,4.1037,4.1037
31,Ablikim-15,3.0500,0.0000,0.0000,10.1000,1.2530,1.2530
31,Ablikim-15,3.0600,0.0000,0.0000,8.5000,1.1662,1.1662
31,Ablikim-15,3.0800,0.0000,0.0000,8.9000,0.8602,0.8602
31,Ablikim-15,3.4000,0.0000,0.0000,1.8000,1.3601,1.3601
31,Ablikim-15,3.5000,0.0000,0.0000,2.2000,1.1662,1.1662
31,Ablikim-15,3.5507,0.0000,0.0000,2.0000,0.7211,0.7211
31,Ablikim-15,3.6002,0.0000,0.0000,2.2000,1.0817,1.0817
31,Ablikim-15,3.6500,0.0000,0.0000,1.1000,0.2236,0.2236
31,Ablikim-15,3.6710,0.0000,0.0000,2.2000,1.2042,1.2042
31,Akhmetshin-16,1.9000,0.0000,0.0000,1200.0000,295.2965,295.2965
31,Akhmetshin-16,1.9200,0.0000,0.0000,870.0000,70.7107,70.7107
31,Akhmetshin-16,1.9250,0.0000,0.0000,900.0000,70.7107,70.7107
31,Akhmetshin-16,1.9400,0.0000,0.0000,870.0000,70.7107,70.7107
31,Akhmetshin-16,1.9500,0.0000,0.0000,890.0000,78.1025,78.1025
31,Akhmetshin-16,1.9600,0.0000,0.0000,960.0000,84.8528,84.8528
31,Akhmetshin-16,1.9750,0.0000,0.0000,900.0000,70.7107,70.7107
31,Akhmetshin-16,1.9800,0.0000,0.0000,980.0000,78.1025,78.1025
31,Akhmetshin-16,2.0000,0.0000,0.0000,950.0000,84.8528,84.8528
31,Ablikim-19,2.0125,0.0125,0.0125,797.0000,93.6002,93.6002
31,Ablikim-19,2.0375,0.0125,0.0125,833.0000,82.9277,82.9277
31,Ablikim-19,2.0625,0.0125,0.0125,723.0000,67.6757,67.6757
31,Ablikim-19,2.0875,0.0125,0.0125,749.0000,57.8014,57.8014
31,Ablikim-19,2.1125,0.0125,0.0125,654.0000,56.3028,56.3028
31,Ablikim-19,2.1375,0.0125,0.0125,637.0000,49.4065,49.4065
31,Ablikim-19,2.1625,0.0125,0.0125,557.0000,47.4342,47.4342
31,Ablikim-19,2.1875,0.0125,0.0125,467.0000,39.2046,39.2046
31,Ablikim-19,2.2125,0.0125,0.0125,371.0000,34.2053,34.2053
31,Ablikim-19,2.2375,0.0125,0.0125,310.0000,29.0689,29.0689
31,Ablikim-19,2.2625,0.0125,0.0125,225.0000,22.6274,22.6274
31,Ablikim-19,2.2875,0.0125,0.0125,192.0000,19.7990,19.7990
31,Ablikim-19,2.3250,0.0250,0.0250,136.1000,11.3146,11.3146
31,Ablikim-19,2.3750,0.0250,0.0250,116.3000,12.1037,12.1037
31,Ablikim-19,2.4250,0.0250,0.0250,126.1000,9.5671,9.5671
31,Ablikim-19,2.4750,0.0250,0.0250,100.1000,9.1285,9.1285
31,Ablikim-19,2.5250,0.0250,0.0250,67.4000,6.8622,6.8622
31,Ablikim-19,2.5750,0.0250,0.0250,61.1000,5.9034,5.9034
31,Ablikim-19,2.6250,0.0250,0.0250,41.0000,4.7011,4.7011
31,Ablikim-19,2.6750,0.0250,0.0250,33.6000,3.9408,3.9408
31,Ablikim-19,2.7250,0.0250,0.0250,30.7000,4.2426,4.2426
31,Ablikim-19,2.7750,0.0250,0.0250,26.8000,3.6125,3.6125
31,Ablikim-19,2.8250,0.0250,0.0250,21.6000,3.2527,3.2527
31,Ablikim-19,2.8750,0.0250,0.0250,20.4000,2.8425,2.8425
31,Ablikim-19,2.9250,0.0250,0.0250,10.2000,2.7203,2.7203
31,Ablikim-19,2.9750,0.0250,0.0250,14.1000,2.6401,2.6401
31,Ablikim-19,3.1000,0.1000,0.1000,11.1000,1.6971,1.6971
31,Ablikim-19,3.3000,0.1000,0.1000,3.5900,0.6512,0.6512
31,Ablikim-19,3.5000,0.1000,0.1000,2.1800,0.3920,0.3920
31,Ablikim-19,3.7000,0.1000,0.1000,0.6400,0.2625,0.2625
31,Ablikim-20,2.0000,0.0000,0.0000,841.3000,27.3366,27.3366
31,Ablikim-20,2.0500,0.0000,0.0000,753.4000,29.7849,29.7849
31,Ablikim-20,2.1000,0.0000,0.0000,712.6000,23.2938,23.2938
31,Ablikim-20,2.1250,0.0000,0.0000,660.0000,19.9271,19.9271
31,Ablikim-20,2.1500,0.0000,0.0000,588.8000,24.6830,24.6830
31,Ablikim-20,2.1750,0.0000,0.0000,491.0000,16.8238,16.8238
31,Ablikim-20,2.2000,0.0000,0.0000,411.6000,13.8654,13.8654
31,Ablikim-20,2.2324,0.0000,0.0000,341.9000,11.5974,11.5974
31,Ablikim-20,2.3094,0.0000,0.0000,148.0000,6.4885,6.4885
31,Ablikim-20,2.3864,0.0000,0.0000,122.0000,4.5607,4.5607
31,Ablikim-20,2.3960,0.0000,0.0000,121.9000,3.9395,3.9395
31,Ablikim-20,2.5000,0.0000,0.0000,77.9000,11.2721,11.2721
31,Ablikim-20,2.6444,0.0000,0.0000,39.7000,1.7692,1.7692
31,Ablikim-20,2.6464,0.0000,0.0000,38.2000,1.7692,1.7692
31,Ablikim-20,2.7000,0.0000,0.0000,29.8000,6.8884,6.8884
31,Ablikim-20,2.8000,0.0000,0.0000,22.0000,2.8792,2.8792
31,Ablikim-20,2.9000,0.0000,0.0000,15.0000,0.7071,0.7071
31,Ablikim-20,2.9500,0.0000,0.0000,11.7000,1.1705,1.1705
31,Ablikim-20,2.9810,0.0000,0.0000,12.9000,1.2083,1.2083
31,Ablikim-20,3.0000,0.0000,0.0000,9.2000,1.0440,1.0440
31,Ablikim-20,3.0200,0.0000,0.0000,9.0000,0.9487,0.9487
31,Ablikim-20,3.0800,0.0000,0.0000,9.0000,0.4243,0.4243
