# Cross-section sigma_p pbar, e+e- -> p pbar
# sqrt(s) [GeV/c] | delta+ | delta- | sigma_exp [pb] | delta sigma_exp+ | delta sigma_exp-
Code,Abbrev,x,dx+,dx-,y,dy+,dy-
31,Ablikim-19,5.1189,0.0566,0.0566,225.0000,22.6274,22.6274
31,Ablikim-19,5.2327,0.0572,0.0572,192.0000,19.7990,19.7990
31,Ablikim-19,5.4056,0.1163,0.1163,136.1000,11.3146,11.3146
31,Ablikim-19,5.6406,0.1188,0.1188,116.3000,12.1037,12.1037
31,Ablikim-19,5.8806,0.1213,0.1213,126.1000,9.5671,9.5671
31,Ablikim-19,6.1256,0.1238,0.1238,100.1000,9.1285,9.1285
31,Ablikim-19,6.3756,0.1263,0.1263,67.4000,6.8622,6.8622
31,Ablikim-19,6.6306,0.1288,0.1288,61.1000,5.9034,5.9034
31,Ablikim-19,6.8906,0.1313,0.1313,41.0000,4.7011,4.7011
31,Ablikim-19,7.1556,0.1338,0.1338,33.6000,3.9408,3.9408
31,Ablikim-19,7.4256,0.1363,0.1363,30.7000,4.2426,4.2426
31,Ablikim-19,7.7006,0.1388,0.1388,26.8000,3.6125,3.6125
31,Ablikim-19,7.9806,0.1413,0.1413,21.6000,3.2527,3.2527
31,Ablikim-19,8.2656,0.1438,0.1438,20.4000,2.8425,2.8425
31,Ablikim-19,8.5556,0.1463,0.1463,10.2000,2.7203,2.7203
31,Ablikim-19,8.8506,0.1488,0.1488,14.1000,2.6401,2.6401
31,Ablikim-19,9.6100,0.6200,0.6200,11.1000,1.6971,1.6971
31,Ablikim-19,10.8900,0.6600,0.6600,3.5900,0.6512,0.6512
31,Ablikim-19,12.2500,0.7000,0.7000,2.1800,0.3920,0.3920
31,Ablikim-19,13.6900,0.7400,0.7400,0.6400,0.2625,0.2625
31,Ablikim-20,4.0000,0.0000,0.0000,841.3000,27.3366,27.3366
31,Ablikim-20,4.2025,0.0000,0.0000,753.4000,29.7849,29.7849
31,Ablikim-20,4.4100,0.0000,0.0000,712.6000,23.2938,23.2938
31,Ablikim-20,4.5156,0.0000,0.0000,660.0000,19.9271,19.9271
31,Ablikim-20,4.6225,0.0000,0.0000,588.8000,24.6830,24.6830
31,Ablikim-20,4.7306,0.0000,0.0000,491.0000,16.8238,16.8238
31,Ablikim-20,4.8400,0.0000,0.0000,411.6000,13.8654,13.8654
31,Ablikim-20,4.9836,0.0000,0.0000,341.9000,11.5974,11.5974
31,Ablikim-20,5.3333,0.0000,0.0000,148.0000,6.4885,6.4885
31,Ablikim-20,5.6949,0.0000,0.0000,122.0000,4.5607,4.5607
31,Ablikim-20,5.7408,0.0000,0.0000,121.9000,3.9395,3.9395
31,Ablikim-20,6.2500,0.0000,0.0000,77.9000,11.2721,11.2721
31,Ablikim-20,6.9929,0.0000,0.0000,39.7000,1.7692,1.7692
31,Ablikim-20,7.0034,0.0000,0.0000,38.2000,1.7692,1.7692
31,Ablikim-20,7.2900,0.0000,0.0000,29.8000,6.8884,6.8884
31,Ablikim-20,7.8400,0.0000,0.0000,22.0000,2.8792,2.8792
31,Ablikim-20,8.4100,0.0000,0.0000,15.0000,0.7071,0.7071
31,Ablikim-20,8.7025,0.0000,0.0000,11.7000,1.1705,1.1705
31,Ablikim-20,8.8864,0.0000,0.0000,12.9000,1.2083,1.2083
31,Ablikim-20,9.0000,0.0000,0.0000,9.2000,1.0440,1.0440
31,Ablikim-20,9.1204,0.0000,0.0000,9.0000,0.9487,0.9487
31,Ablikim-20,9.4864,0.0000,0.0000,9.0000,0.4243,0.4243
# EOF
