# Sigma_exp/Sigma_dip data
# Source: Mainz
# t [GeV^2/c^2] | sigma_exp/sigma_dip | delta sigma_exp/sigma_dip | theta | E_in [MeV]
Code,Abbrev,x,y,dy,theta,energy
# Type=1100
30,Mainz,-0.050468,0.979200,0.002700,85.510000,180.000000
30,Mainz,-0.052491,0.982200,0.005100,88.000000,180.000000
30,Mainz,-0.052492,0.982100,0.002300,88.000000,180.000000
30,Mainz,-0.054499,0.974800,0.003000,90.500000,180.000000
30,Mainz,-0.054494,0.980400,0.005200,90.500000,180.000000
30,Mainz,-0.054495,0.976400,0.002100,90.500000,180.000000
30,Mainz,-0.056484,0.974400,0.005000,93.010000,180.000000
30,Mainz,-0.056484,0.983200,0.003100,93.010000,180.000000
30,Mainz,-0.056484,0.979100,0.003000,93.010000,180.000000
30,Mainz,-0.058421,0.980200,0.005300,95.500000,180.000000
30,Mainz,-0.058421,0.979900,0.003100,95.500000,180.000000
30,Mainz,-0.058422,0.982500,0.002700,95.500000,180.000000
30,Mainz,-0.060326,0.979900,0.005100,97.990000,180.000000
30,Mainz,-0.060327,0.984800,0.003000,97.990000,180.000000
30,Mainz,-0.060327,0.978600,0.003000,97.990000,180.000000
30,Mainz,-0.060327,0.979600,0.003100,97.990000,180.000000
30,Mainz,-0.060326,0.981900,0.003000,97.990000,180.000000
30,Mainz,-0.062204,0.988900,0.004600,100.500000,180.000000
30,Mainz,-0.062204,0.977400,0.002900,100.500000,180.000000
30,Mainz,-0.062204,0.980700,0.002500,100.500000,180.000000
30,Mainz,-0.064042,0.981800,0.004800,103.000000,180.000000
30,Mainz,-0.064043,0.977300,0.003500,103.000000,180.000000
30,Mainz,-0.064044,0.980700,0.002500,103.000000,180.000000
30,Mainz,-0.065843,0.979100,0.005100,105.510000,180.000000
30,Mainz,-0.065844,0.981900,0.003000,105.510000,180.000000
30,Mainz,-0.065838,0.983300,0.002600,105.510000,180.000000
30,Mainz,-0.054498,0.986000,0.002800,90.500000,180.000000
# Type=1101
30,Mainz,-0.003843,0.995100,0.004500,20.010000,180.000000
30,Mainz,-0.003839,0.998400,0.004500,20.010000,180.000000
30,Mainz,-0.004031,0.994200,0.004600,20.500000,180.000000
30,Mainz,-0.004028,0.992600,0.004500,20.500000,180.000000
30,Mainz,-0.004031,1.000100,0.004700,20.500000,180.000000
30,Mainz,-0.004031,0.992600,0.004600,20.500000,180.000000
30,Mainz,-0.004227,0.995400,0.004700,21.000000,180.000000
30,Mainz,-0.004426,0.999300,0.004700,21.500000,180.000000
30,Mainz,-0.004426,0.995200,0.004700,21.500000,180.000000
30,Mainz,-0.004626,0.992500,0.005200,22.000000,180.000000
30,Mainz,-0.004626,0.989700,0.005200,22.000000,180.000000
30,Mainz,-0.004626,0.997500,0.004400,22.000000,180.000000
30,Mainz,-0.004625,0.994700,0.004300,22.000000,180.000000
30,Mainz,-0.004833,0.994000,0.004300,22.500000,180.000000
30,Mainz,-0.004838,0.989100,0.004300,22.500000,180.000000
30,Mainz,-0.005051,1.001100,0.004400,23.000000,180.000000
30,Mainz,-0.005047,1.001200,0.004400,23.000000,180.000000
30,Mainz,-0.005046,0.995700,0.003800,23.000000,180.000000
30,Mainz,-0.005046,0.995700,0.003800,23.000000,180.000000
30,Mainz,-0.005271,1.000200,0.003900,23.510000,180.000000
30,Mainz,-0.005271,0.998500,0.003900,23.510000,180.000000
30,Mainz,-0.005272,0.999000,0.003900,23.510000,180.000000
30,Mainz,-0.005266,0.996100,0.003900,23.510000,180.000000
